Name,Link,playerID
Harry Berthrong,https://www.baseball-reference.com/players/b/berthha01.shtml,berthha01
George Bird,https://www.baseball-reference.com/players/b/birdge01.shtml,birdge01
Ned Connor,https://www.baseball-reference.com/players/c/connone01.shtml,connone01
George Ewell,https://www.baseball-reference.com/players/e/ewellge01.shtml,ewellge01
Sam Jackson,https://www.baseball-reference.com/players/j/jackssa01.shtml,jackssa01
Bill Kelly,https://www.baseball-reference.com/players/k/kellybi03.shtml,kellybi03
Henry Kohler,https://www.baseball-reference.com/players/k/kohlehe01.shtml,kohlehe01
Bill Lennon,https://www.baseball-reference.com/players/l/lennobi01.shtml,lennobi01
Bobby Mathews,https://www.baseball-reference.com/players/m/mathebo01.shtml,mathebo01
Pony Sager,https://www.baseball-reference.com/players/s/sagerpo01.shtml,sagerpo01
Frank Sellman,https://www.baseball-reference.com/players/s/selmafr01.shtml,selmafr01
Al Spalding,https://www.baseball-reference.com/players/s/spaldal01.shtml,spaldal01
Bill Stearns,https://www.baseball-reference.com/players/s/stearbi01.shtml,stearbi01
Warren White,https://www.baseball-reference.com/players/w/whitewa01.shtml,whitewa01
Robert Armstrong,https://www.baseball-reference.com/players/a/armstsa01.shtml,armstsa01
Steve Bellan,https://www.baseball-reference.com/players/b/bellast01.shtml,bellast01
Mike Brannock,https://www.baseball-reference.com/players/b/brannmi01.shtml,brannmi01
Tom Carey,https://www.baseball-reference.com/players/c/careyto02.shtml,careyto02
Marshall King,https://www.baseball-reference.com/players/k/kingma01.shtml,kingma01
Ed Mincher,https://www.baseball-reference.com/players/m/minched01.shtml,minched01
Elmer White,https://www.baseball-reference.com/players/w/whiteel01.shtml,whiteel01
Asa Brainard,https://www.baseball-reference.com/players/b/brainas01.shtml,brainas01
Ed Duffy,https://www.baseball-reference.com/players/d/duffyed01.shtml,duffyed01
Dick McBride,https://www.baseball-reference.com/players/m/mcbridi01.shtml,mcbridi01
Joe Simmons,https://www.baseball-reference.com/players/s/simmojo01.shtml,simmojo01
Pete Donnelly,https://www.baseball-reference.com/players/d/donnepe01.shtml,donnepe01
Cherokee Fisher,https://www.baseball-reference.com/players/f/fishech01.shtml,fishech01
Tom Foley,https://www.baseball-reference.com/players/f/foleyto02.shtml,foleyto02
